drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Perindopril Erbumine,2mg,Tablet,100.0,,,,,22.39,Aceon,36100035100310-Generic,1.7,100,,confirmed,perindopril-erbumine-2mg-tablet-aceon,False,False
Perindopril Erbumine,4mg,Tablet,100.0,,,,,22.84,Aceon,36100035100320-Generic,2.17,100,,confirmed,perindopril-erbumine-2mg-tablet-aceon,False,False
Perindopril Erbumine,8mg,Tablet,100.0,,,,,24.63,Aceon,36100035100330-Generic,2.37,100,,confirmed,perindopril-erbumine-2mg-tablet-aceon,False,False
Permethrin,5%,Cream,60.0,,,,,16.25,Elimite,90900035003720-60-Generic,119.99,60,60g,confirmed,Permethrin-0_05-Cream,False,False
Perphenazine,4mg,Tablet,100.0,,,,,6.86,Trilafon,59200045000310-Generic,3.0,100,,confirmed,perphenazine-4mg-tablet,False,False
Perphenazine,8mg,Tablet,100.0,,,,,7.04,Trilafon,59200045000315-Generic,3.55,100,,confirmed,perphenazine-4mg-tablet,False,False
Perphenazine,16mg,Tablet,100.0,,,,,10.38,Trilafon,59200045000320-Generic,3.17,100,,confirmed,perphenazine-4mg-tablet,False,False
Perphenazine,2mg,Tablet,100.0,,,,,6.69,Trilafon,59200045000305-Generic,1.57,100,,confirmed,perphenazine-4mg-tablet,False,False
Perphenazine-Amitriptyline,2-10mg,Tablet,100.0,,,,,49.13,Triavil,62994002600310-Generic,1.67,100,,confirmed,perphenazine-amitriptyline-2-10mg-tablet-triavil,False,False
Perphenazine-Amitriptyline,2-25mg,Tablet,100.0,,,,,61.13,Triavil,62994002600315-Generic,2.2,100,,confirmed,perphenazine-amitriptyline-2-10mg-tablet-triavil,False,False
Perphenazine-Amitriptyline,4-10mg,Tablet,100.0,,,,,54.34,Triavil,62994002600320-Generic,1.83,100,,confirmed,perphenazine-amitriptyline-2-10mg-tablet-triavil,False,False
Perphenazine-Amitriptyline,4-25mg,Tablet,100.0,,,,,66.17,Triavil,62994002600325-Generic,2.27,100,,confirmed,perphenazine-amitriptyline-2-10mg-tablet-triavil,False,False
Phenelzine Sulfate,15mg,Tablet,60.0,,,,,23.53,Nardil,58100020100305-Generic,1.0,60,,confirmed,phenelzine-sulfate-15mg-tablet-nardil,False,False
Phenoxybenzamine HCl,10mg,Capsule,100.0,,,,,1011.23,Dibenzyline,36300010100105-Generic,129.7,100,,confirmed,phenoxybenzamine-hcl-10mg-capsule-dibenzyline,False,False
Phenytoin,50mg,Tablet Chewable,100.0,,,,,8.66,Dilantin,72200030000505-Generic,0.73,100,,confirmed,phenytoin-50mg-tablet-chewable-dilantin,False,False
Phenytoin,125mg/5mL,Bottle of Oral Suspension,237.0,,,,,16.99,Dilantin,72200030001810-237-Generic,40.0,237,237mL,confirmed,phenytoin-50mg-tablet-chewable-dilantin,False,False
Phenytoin,100mg,Capsule,1000.0,,,,,7.1,Dilantin,72200030200110-Generic,0.63,1000,,confirmed,phenytoin-50mg-tablet-chewable-dilantin,False,False
Phytonadione,5mg,Tablet,30.0,,,,,163.32,Mephyton,77204030000305-Generic,55.07,30,,confirmed,phytonadione-5mg-tablet-mephyton,False,False
Pilocarpine HCl,1%,Bottle of Solution,15.0,,,,,35.02,Isopto Carpine,86501030102015-15-Generic,95.0,15,15mL,confirmed,pilocarpine-hcl-1-bottle-of-solution-15-isopto-carpine,False,False
Pilocarpine HCl,2%,Bottle of Solution,15.0,,,,,32.35,Isopto Carpine,86501030102020-15-Generic,97.0,15,15mL,confirmed,pilocarpine-hcl-1-bottle-of-solution-15-isopto-carpine,False,False
Pilocarpine HCl,4%,Bottle of Solution,15.0,,,,,34.78,Isopto Carpine,86501030102030-15-Generic,108.0,15,15mL,confirmed,pilocarpine-hcl-1-bottle-of-solution-15-isopto-carpine,False,False
Pilocarpine HCl,5mg,Tablet,100.0,,,,,8.45,Salagen,88501560100310-Generic,1.37,100,,confirmed,pilocarpine-hcl-5mg-tablet-salagen,False,False
Pilocarpine HCl,7.5mg,Tablet,100.0,,,,,14.52,Salagen,88501560100320-Generic,2.43,100,,confirmed,pilocarpine-hcl-5mg-tablet-salagen,False,False
Pimecrolimus,1%,Tube of Cream,30.0,,,,,65.09,Elidel,90784060003720-30-Generic,230.0,30,30g,confirmed,pimecrolimus-1-tube-of-cream-30-elidel,False,False
Pimozide,1mg,Tablet,100.0,,,,,37.78,Orap,62000030000303-Generic,1.93,100,,confirmed,pimozide-1mg-tablet-orap,False,False
Pimozide,2mg,Tablet,100.0,,,,,50.85,Orap,62000030000305-Generic,2.4,100,,confirmed,pimozide-1mg-tablet-orap,False,False
Pindolol,10mg,Tablet,100.0,,,,,15.52,Visken,33100030000310-Generic,2.53,100,,confirmed,pindolol-10mg-tablet-visken,False,False
Pindolol,5mg,Tablet,100.0,,,,,14.69,Visken,33100030000305-Generic,1.77,100,,confirmed,pindolol-10mg-tablet-visken,False,False
Pioglitazone,15mg,Tablet,500.0,,,,,5.97,Actos,27607050100320-Generic,2.75,500,,confirmed,pioglitazone-15mg-tablet,False,False
Pioglitazone,45mg,Tablet,500.0,,,,,6.97,Actos,27607050100340-Generic,3.84,500,,confirmed,pioglitazone-15mg-tablet,False,False
Pioglitazone,30mg,Tablet,90.0,,,,,7.21,Actos,27607050100330-Generic,2.48,90,,confirmed,pioglitazone-15mg-tablet,False,False
Pioglitazone HCl-Glimepiride,30-2mg,Tablet,30.0,,,,,294.77,Duetact,27997802400320-Generic,14.53,30,,confirmed,pioglitazone-hcl-glimepiride-30-2mg-tablet-duetact,False,False
Pioglitazone HCl-Glimepiride,30-4mg,Tablet,30.0,,,,,261.71,Duetact,27997802400340-Generic,14.43,30,,confirmed,pioglitazone-hcl-glimepiride-30-2mg-tablet-duetact,False,False
Pioglitazone-Metformin,15mg-500mg,Tablet,60.0,,,,,7.69,Actoplus Met,27998002400320-Generic,5.09,60,,confirmed,pioglitazone-metformin-15mg-500mg-tablet,False,False
Pioglitazone-Metformin,15mg-850mg,Tablet,60.0,,,,,11.31,Actoplus Met,27998002400340-Generic,4.54,60,,confirmed,pioglitazone-metformin-15mg-500mg-tablet,False,False
Pirfenidone,267mg,Tablet,270.0,,,,,21.94,Esbriet,45550060000325-Generic,86.9,270,,confirmed,pirfenidone-267mg-tablet-esbriet,False,False
Pirfenidone,801mg,Tablet,90.0,,,,,38.81,Esbriet,45550060000345-Generic,264.57,90,,confirmed,pirfenidone-267mg-tablet-esbriet,False,False
Piroxicam,10mg,Capsule,100.0,,,,,7.76,Feldene,66100070000105-Generic,2.0,100,,confirmed,piroxicam-10mg-capsule-feldene,False,False
Piroxicam,20mg,Capsule,100.0,,,,,7.55,Feldene,66100070000110-Generic,2.63,100,,confirmed,piroxicam-10mg-capsule-feldene,False,False
Pitavastatin Calcium,1 mg,Tablet,90.0,,,,,21.39,Livalo,39400058100321-Generic,11.85,90,,confirmed,pitavastatin-calcium-1-mg-tablet,False,False
Pitavastatin Calcium,2 mg,Tablet,90.0,,,,,20.04,Livalo,39400058100331-Generic,11.89,90,,confirmed,pitavastatin-calcium-1-mg-tablet,False,False
Pitavastatin Calcium,4 mg,Tablet,90.0,,,,,22.77,Livalo,39400058100341-Generic,11.88,90,,confirmed,pitavastatin-calcium-1-mg-tablet,False,False
Podofilox,0.50%,Bottle of Solution,3.5,,,,,47.55,Condylox,90750015002020-3.5-Generic,127.0,3.5,3.5mL,confirmed,podofilox-0_50-bottle-of-solution-3_5-condylox,False,False
Polymyxin B Trimethoprim,10000 unit/mL 0.1%,Solution,10.0,,,,,8.45,Polytrim,86109902602020-10-Generic,22.67,10,10mL,confirmed,PolymyxinBTrimethoprim-10000UnitML-0_001-Solution,False,False
Posaconazole,40mg/mL,Bottle of Solution,105.0,,,,,727.37,Noxafil,11407060001820-105-Generic,1706.0,105,105mL,confirmed,posaconazole-40mg-ml-bottle-of-solution-105-noxafil,False,False
Posaconazole,100mg,Delayed Release Tablet,60.0,,,,,41.98,Noxafil,11407060000620-Generic,54.77,60,,confirmed,posaconazole-40mg-ml-bottle-of-solution-105-noxafil,False,False
Potassium Chloride,20mEq,Packet,30.0,,,,,13.52,Klor-Con,79700030003015-Generic,9.11,30,,confirmed,potassiumchloride-20meq-packet,False,False
Potassium Chloride,20meq/15ml (10%),mL,473.0,,,,,5.41,K-Sol,79700030002085-Generic,0.69,473,,confirmed,potassium-chloride-20meq_15ml-(10percent)-ml,False,False
Potassium Chloride,40meq/15ml (20%),mL,473.0,,,,,5.69,K-Sol,79700030002095-Generic,1.34,473,,confirmed,potassium-chloride-20meq_15ml-(10percent)-ml,False,False
Potassium Chloride ER,10mEq,Tablet Extended-Release,500.0,,,,,6.38,K-Tab,79700030000430-Generic,0.67,500,,confirmed,potassium-chloride-er-10meq-tablet-extended-release-k-tab,False,False
Potassium Chloride ER,20mEq,Tablet Extended-Release,100.0,,,,,10.62,K-Tab,79700030000445-Generic,0.63,100,,confirmed,potassium-chloride-er-10meq-tablet-extended-release-k-tab,False,False
Potassium Chloride Extended Release (ER),8mEq,Extended Release Tablet,100.0,,,,,6.79,Klor-Con M,79700030000420-Generic,0.53,100,,confirmed,potassium-chloride-er-8-meq-tablet,False,False
Potassium Chloride Extended Release (ER),10mEq,Extended Release Tablet,100.0,,,,,6.55,Klor-Con M,79700030100430-Generic,0.61,100,,confirmed,potassium-chloride-er-8-meq-tablet,False,False
Potassium Chloride Extended Release (ER),20mEq,Extended Release Tablet,500.0,,,,,7.76,Klor-Con M,79700030100440-Generic,0.73,500,,confirmed,potassium-chloride-er-8-meq-tablet,False,False
Potassium Chloride Extended Release (ER),8mEq,Extended Release Sprinkle Capsule,100.0,,,,,7.1,Micro-K,79700030000205-Generic,0.61,100,,confirmed,potassiumchlorideextendedreleaseer-8meq-capsule,False,False
Potassium Chloride Extended Release (ER),10mEq,Extended Release Sprinkle Capsule,100.0,,,,,7.28,Micro-K,79700030000210-Generic,0.99,100,,confirmed,potassiumchlorideextendedreleaseer-8meq-capsule,False,False
Potassium Citrate ER,10mEq (1080mg),Tablet Extended-Release,100.0,,,,,7.21,Urocit-K,56202010200440-Generic,1.43,100,,confirmed,potassium-citrate-er-10meq-1080mg-tablet-extended-release-urocit-k,False,False
Potassium Citrate ER,5mEq (540mg),Tablet Extended-Release,100.0,,,,,7.31,Urocit-K,56202010200420-Generic,1.63,100,,confirmed,potassium-citrate-er-10meq-1080mg-tablet-extended-release-urocit-k,False,False
Potassium Citrate ER,15mEq (1620mg),Tablet Extended-Release,100.0,,,,,7.97,Urocit-K,56202010200460-Generic,1.83,100,,confirmed,potassium-citrate-er-10meq-1080mg-tablet-extended-release-urocit-k,False,False
Pramipexole Dihydrochloride,1.5mg,Tablet,90.0,,,,,6.52,Mirapex,73203060100330-Generic,1.15,90,,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,1mg,Tablet,90.0,,,,,6.07,Mirapex,73203060100320-Generic,1.63,90,,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,0.125mg,Tablet,90.0,,,,,5.62,Mirapex,73203060100305-Generic,1.67,90,,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,0.25mg,Tablet,90.0,,,,,5.59,Mirapex,73203060100310-Generic,1.9,90,,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,0.5mg,Tablet,90.0,,,,,5.83,Mirapex,73203060100315-Generic,1.55,90,,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,0.75mg,Tablet,90.0,,,,,6.48,Mirapex,73203060100317-Generic,1.87,90,,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
