drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Cyclosporine,100mg,Bottle of Capsules,30.0,,,,,358.57,Sandimmune,99402020000140-30-Generic,399.0,30,30 Capsules,confirmed,cyclosporine-25mg-bottle-of-capsules-30-sandimmune,False,False
Cyclosporine Modified,100mg/mL,Bottle of Solution,50.0,,,,,91.35,Neoral,99402020302020-50-Generic,270.0,50,50mL,confirmed,cyclosporine-modified-100mg-ml-bottle-of-solution-50-neoral,False,False
Cyclosporine Modified,100mg,Capsule,30.0,,,,,36.02,"Neoral, Gengraf",99402020300150-Generic,5.31,30,,confirmed,cyclosporine-modified-100mg-capsule,False,False
Cyclosporine Modified,25mg,Capsule,30.0,,,,,13.28,"Neoral, Gengraf",99402020300120-Generic,1.62,30,,confirmed,cyclosporine-modified-100mg-capsule,False,False
Cyclosporine Modified,50mg,Capsule,30.0,,,,,20.8,"Neoral, Gengraf",99402020300130-Generic,2.71,30,,confirmed,cyclosporine-modified-100mg-capsule,False,False
Cyproheptadine HCl,4mg,Tablet,500.0,,,,,6.38,Periactin,41500020100305-Generic,0.97,500,,confirmed,CyproheptadineHCl-4mg-Tablet,False,False
Cyproheptadine HCl,2mg/5ml,mL,473.0,,,,,5.79,Periactin,41500020101210-Generic,0.16,473,,confirmed,CyproheptadineHCl-4mg-Tablet,False,False
Dabigatran Etexilate Mesylate,75mg,Bottle of Capsules,60.0,,,,,23.8,Pradaxa,83337030200120-60-Generic,223.0,60,60 Capsules,confirmed,dabigatran-etexilate-mesylate-75mg-bottle-of-capsules-60-pradaxa,False,False
Dabigatran Etexilate Mesylate,110 mg,Bottle of Capsules,60.0,,,,,23.8,Pradaxa,83337030200130-60-Generic,2.793,60,60 Capsules,confirmed,dabigatran-etexilate-mesylate-75mg-bottle-of-capsules-60-pradaxa,False,False
Dabigatran Etexilate Mesylate,150mg,Bottle of Capsules,60.0,,,,,23.8,Pradaxa,83337030200140-60-Generic,215.58,60,60 Capsules,confirmed,dabigatran-etexilate-mesylate-75mg-bottle-of-capsules-60-pradaxa,False,False
Dalfampridine ER,10mg,Extended Release Tablet,60.0,,,,,10.73,Ampyra,62406030007420-Generic,46.48,60,,confirmed,dalfampridine-er-10mg-tablet,False,False
Danazol,50mg,Capsules,100.0,,,,,41.05,Danocrine,23100005000105-Generic,3.18,100,,confirmed,danazol-50mg-capsules,False,False
Danazol,100mg,Capsules,100.0,,,,,38.15,Danocrine,23100005000110-Generic,4.72,100,,confirmed,danazol-50mg-capsules,False,False
Danazol,200mg,Capsules,100.0,,,,,58.51,Danocrine,23100005000115-Generic,2.51,100,,confirmed,danazol-50mg-capsules,False,False
Dantrolene Sodium,25mg,Capsule,100.0,,,,,11.73,Dantrium,75200010100105-Generic,0.98,100,,confirmed,dantrolene-sodium-25mg-capsule,False,False
Dantrolene Sodium,50mg,Capsule,100.0,,,,,15.87,Dantrium,75200010100110-Generic,1.57,100,,confirmed,dantrolene-sodium-25mg-capsule,False,False
Dantrolene Sodium,100mg,Capsule,100.0,,,,,20.84,Dantrium,75200010100115-Generic,1.94,100,,confirmed,dantrolene-sodium-25mg-capsule,False,False
Dapagliflozin-Metformin HCl ER,5-500mg,Extended Release Tablet,30.0,,,,,19.77,Xigduo XR,27996002297515-Generic,5.45,30,,confirmed,dapagliflozin-metformin-hcl-er-5-500mg-extended-release-tablet,False,False
Dapagliflozin-Metformin HCl ER,5-1000mg,Extended Release Tablet,60.0,,,,,18.21,Xigduo XR,27996002297520-Generic,5.45,60,,confirmed,dapagliflozin-metformin-hcl-er-5-500mg-extended-release-tablet,False,False
Dapagliflozin-Metformin HCl ER,10-500mg,Extended Release Tablet,30.0,,,,,19.84,Xigduo XR,27996002297530-Generic,5.45,30,,confirmed,dapagliflozin-metformin-hcl-er-5-500mg-extended-release-tablet,False,False
Dapagliflozin-Metformin HCl ER,10-1000mg,Extended Release Tablet,30.0,,,,,19.94,Xigduo XR,27996002297540-Generic,5.45,30,,confirmed,dapagliflozin-metformin-hcl-er-5-500mg-extended-release-tablet,False,False
Dapagliflozin Propanediol,5mg,Tablet,30.0,,,,,7.07,Farxiga,27700040000312-Generic,20.63,30,,confirmed,dapagliflozin-propanediol-5mg-tablet-farxiga,False,False
Dapagliflozin Propanediol,10mg,Tablet,30.0,,,,,8.35,Farxiga,27700040000320-Generic,21.67,30,,confirmed,dapagliflozin-propanediol-5mg-tablet-farxiga,False,False
Dapsone,100mg,Tablet,30.0,,,,,11.04,Aczone,16300010000320-Generic,2.8,30,,confirmed,dapsone-100mg-tablet-aczone,False,False
Dapsone,25mg,Tablet,30.0,,,,,16.49,Aczone,16300010000310-Generic,2.5,30,,confirmed,dapsone-100mg-tablet-aczone,False,False
Dapsone,5%,Tube of Gel,60.0,,,,,43.09,Aczone,90051015004020-60-Generic,514.0,60,60g,confirmed,dapsone-100mg-tablet-aczone,False,False
Dapsone,7.5%,Gel Pump,90.0,,,,,100.67,Aczone,90051015004030-90-Generic,828.0,90,90 grams,confirmed,dapsone-100mg-tablet-aczone,False,False
Dapsone,7.5%,Gel Pump,60.0,,,,,67.1,Aczone,90051015004030-60-Generic,193.46,60,60 grams,confirmed,dapsone-100mg-tablet-aczone,False,False
Darifenacin Hydrobromide ER,7.5mg,Bottle of 30 Tablets,30.0,,,,,12.02,Enablex,54100010207520-30-Generic,338.0,30,30 Tablets,confirmed,darifenacin-hydrobromide-er-7_5mg-bottle-of-extended-release-tablets-30-enablex,False,False
Darifenacin Hydrobromide ER,15mg,Bottle of Extended Release Tablets,30.0,,,,,11.78,Enablex,54100010207530-30-Generic,303.0,30,30 Tablets,confirmed,darifenacin-hydrobromide-er-7_5mg-bottle-of-extended-release-tablets-30-enablex,False,False
Darifenacin Hydrobromide ER,15mg,Tablet Extended Release 24 Hour,90.0,,,,,11.8,Enablex,54100010207530-Generic,303.0,90,,confirmed,darifenacin-hydrobromide-er-7_5mg-bottle-of-extended-release-tablets-30-enablex,False,False
Darunavir,600mg,Tablet,60.0,,,,,34.22,Prezista,12104520000325-Generic,49.27,60,,confirmed,darunavir-600mg-tablet-prezista,False,False
Dasatinib,20 mg,Bottle of 60 Tablets,60.0,,,,,169.9,Sprycel,21531820000320-60-Generic,8088.01,60,60 ea,confirmed,dasatinib-20-mg-tablet-60,False,False
Dasatinib,50 mg,Bottle of 60 Tablets,60.0,,,,,258.74,Sprycel,21531820000340-60-Generic,16166.73,60,60 ea,confirmed,dasatinib-20-mg-tablet-60,False,False
Dasatinib,70 mg,Bottle of 60 Tablets,60.0,,,,,258.74,Sprycel,21531820000350-60-Generic,16166.73,60,60 ea,confirmed,dasatinib-20-mg-tablet-60,False,False
Dasatinib,80 mg,Bottle of 30 Tablets,30.0,,,,,258.24,Sprycel,21531820000354-30-Generic,14569.82,30,30 ea,confirmed,dasatinib-20-mg-tablet-60,False,False
Dasatinib,100 mg,Bottle of 30 Tablets,30.0,,,,,258.24,Sprycel,21531820000360-30-Generic,14569.82,30,30 ea,confirmed,dasatinib-20-mg-tablet-60,False,False
Dasatinib,140 mg,Bottle of 30 Tablets,30.0,,,,,265.99,Sprycel,21531820000380-30-Generic,14569.82,30,30 ea,confirmed,dasatinib-20-mg-tablet-60,False,False
Deferasirox,125mg,Tablet Soluble,30.0,,,,,28.94,Exjade,93100025007320-Generic,24.27,30,,confirmed,deferasirox-125mg-tablet-soluble-exjade,False,False
Deferasirox,250mg,Tablet Soluble,30.0,,,,,76.17,Exjade,93100025007330-Generic,48.2,30,,confirmed,deferasirox-125mg-tablet-soluble-exjade,False,False
Deferasirox,500mg,Tablet Soluble,30.0,,,,,78.31,Exjade,93100025007340-Generic,96.07,30,,confirmed,deferasirox-125mg-tablet-soluble-exjade,False,False
Deferasirox,180mg,Tablet,30.0,,,,,16.66,Jadenu,93100025000330-Generic,77.76,30,,confirmed,deferasirox-180mg-tablet,False,False
Deferasirox,360mg,Tablet,30.0,,,,,29.05,Jadenu,93100025000340-Generic,217.2,30,,confirmed,deferasirox-180mg-tablet,False,False
Deferasirox,90mg,Tablet,30.0,,,,,14.07,Jadenu,93100025000320-Generic,90.58,30,,confirmed,deferasirox-180mg-tablet,False,False
Deferasirox,90 mg,Box of 30 packets,30.0,,,,,211.94,Jadenu,93100025003020-30-Generic,913.76,30,30 ea,confirmed,deferasirox-180mg-tablet,False,False
Deferasirox,180 mg,Box of 30 packets,30.0,,,,,230.34,Jadenu,93100025003030-30-Generic,1818.26,30,30 ea,confirmed,deferasirox-180mg-tablet,False,False
Deferasirox,360 mg,Box of 30 packets,30.0,,,,,345.34,Jadenu,93100025003040-30-Generic,3627.2,30,30 ea,confirmed,deferasirox-180mg-tablet,False,False
Deferiprone,1000mg,Tablet,50.0,,,,,2482.89,Ferriprox,93100028000340-Generic,136.07,50,,confirmed,deferiprone-1000mg-tablet-ferriprox,False,False
Deferiprone,500mg,Tablet,100.0,,,,,940.61,Ferriprox,93100028000320-Generic,80.6,100,,confirmed,deferiprone-1000mg-tablet-ferriprox,False,False
Demeclocycline HCl,150mg,Tablet,100.0,,,,,66.51,Declomycin,04000010100305-Generic,18.03,100,,confirmed,demeclocycline-hcl-150mg-tablet-declomycin,False,False
Demeclocycline HCl,300mg,Tablet,48.0,,,,,98.43,Declomycin,04000010100310-Generic,22.77,48,,confirmed,demeclocycline-hcl-150mg-tablet-declomycin,False,False
Desipramine HCl,100mg,Tablet,100.0,,,,,12.69,Norpramin,58200030100325-Generic,4.8,100,,confirmed,desipramine-hcl-100mg-tablet-norpramin,False,False
Desipramine HCl,10mg,Tablet,100.0,,,,,7.14,Norpramin,58200030100305-Generic,1.6,100,,confirmed,desipramine-hcl-100mg-tablet-norpramin,False,False
Desipramine HCl,150mg,Tablet,50.0,,,,,14.32,Norpramin,58200030100330-Generic,7.83,50,,confirmed,desipramine-hcl-100mg-tablet-norpramin,False,False
Desipramine HCl,25mg,Tablet,100.0,,,,,8.28,Norpramin,58200030100310-Generic,1.8,100,,confirmed,desipramine-hcl-100mg-tablet-norpramin,False,False
Desipramine HCl,50mg,Tablet,100.0,,,,,8.76,Norpramin,58200030100315-Generic,2.7,100,,confirmed,desipramine-hcl-100mg-tablet-norpramin,False,False
Desipramine HCl,75mg,Tablet,100.0,,,,,11.76,Norpramin,58200030100320-Generic,4.7,100,,confirmed,desipramine-hcl-100mg-tablet-norpramin,False,False
Desloratadine,2.5mg,Pack of Disintegrating Tablets,30.0,,,,,100.16,Clarinex Reditabs,41550021007210-30-Generic,169.0,30,30 Tablets,confirmed,desloratadine-2_5mg-pack-of-disintegrating-tablets-30-clarinex-reditabs,False,False
Desloratadine,5mg,Pack of Disintegrating Tablets,30.0,,,,,100.16,Clarinex Reditabs,41550021007220-30-Generic,173.0,30,30 Tablets,confirmed,desloratadine-2_5mg-pack-of-disintegrating-tablets-30-clarinex-reditabs,False,False
Desloratadine,5mg,Tablet,100.0,,,,,9.55,Clarinex,41550021000320-Generic,3.53,100,,confirmed,desloratadine-5mg-tablet-clarinex,False,False
Desmopressin Ace Spray Refrig,0.01%,Nasal Spray,5.0,,,,,102.75,Minirin,30201010122010-5-Generic,236.0,5,5mL,confirmed,desmopressin-ace-spray-refrig-0_01-nasal-spray-5-minirin,False,False
Desmopressin Acetate,0.1mg,Tablet,100.0,,,,,7.86,DDAVP,30201010100310-Generic,2.99,100,,confirmed,desmopressinacetate-0_1mg-tablet,False,False
Desmopressin Acetate,0.2mg,Tablet,100.0,,,,,13.42,DDAVP,30201010100320-Generic,3.82,100,,confirmed,desmopressinacetate-0_1mg-tablet,False,False
Desmopressin Acetate,0.01%,Nasal Spray,5.0,,,,,64.09,DDAVP,30201010132010-5-Generic,236.0,5,5mL,confirmed,desmopressinacetate-0_1mg-tablet,False,False
Desogestrel & Ethinyl Estradiol,0.15mg-30mcg,Pack of Tablets,28.0,,,,,7.88,Apri,25990002100320-28-Generic,24.0,28,28 Tablets,confirmed,desogestrel-ethinyl-estradiol-0_15mg-30mcg-pack-of-tablets-28-apri,False,False
Desogestrel Ethinyl Estradiol & Ethinyl Estradiol,0.15mg-0.02mg / 0.01mg,Blister Pack of 28 Tablets,28.0,,,,,10.37,"Mircette, Volnea",25991002050320-28-Generic,31.34,28,28 pack,confirmed,desogestrelethinylestradiol_ethinylestradiol-0_15-0_02mg_0_01mg-blisterpack,False,False
Desonide,0.05%,Tube of Gel,60.0,,,,,425.65,Desonate,90550035004020-60-Generic,749.0,60,60g,confirmed,desonide-0_05-tube-of-gel-60-desonate,False,False
Desonide,0.05%,Bottle of Lotion,59.0,,,,,14.14,DesOwen,90550035004105-59-Generic,291.0,59,59mL,confirmed,desonide-0_05-bottle-of-lotion-59-desowen,False,False
Desonide,0.05%,Tube of Cream,15.0,,,,,7.46,DesOwen,90550035003705-15-Generic,81.0,15,15g,confirmed,desonide-0_05-bottle-of-lotion-59-desowen,False,False
Desonide,0.05%,Tube of Ointment,60.0,,,,,14.0,DesOwen,90550035004205-60-Generic,267.0,60,60g,confirmed,desonide-0_05-bottle-of-lotion-59-desowen,False,False
Desonide,0.05%,Bottle of Lotion,118.0,,,,,57.61,DesOwen,90550035004105-118-Generic,378.0,118,118 mL,confirmed,desonide-0_05-bottle-of-lotion-59-desowen,False,False
Desoximetasone,0.25%,Bottle of Liquid,100.0,,,,,65.39,Topicort Spray,90550040000910-100-Generic,219.0,100,100mL,confirmed,desoximetasone-0_25-bottle-of-liquid-100-topicort-spray,False,False
Desoximetasone,0.25%,Tube of Cream,15.0,,,,,8.74,Topicort,90550040003710-15-Generic,56.0,15,15g,confirmed,desoximetasone-0_25-tube-of-cream-15-topicort,False,False
Desoximetasone,0.25%,Tube of Ointment,15.0,,,,,9.7,Topicort,90550040004205-15-Generic,84.0,15,15g,confirmed,desoximetasone-0_25-tube-of-cream-15-topicort,False,False
Desoximetasone,0.25%,Tube of Ointment,60.0,,,,,14.03,Topicort,90550040004205-60-Generic,238.0,60,60g,confirmed,desoximetasone-0_25-tube-of-cream-15-topicort,False,False
Desoximetasone,0.05%,Tube of Cream,60.0,,,,,99.06,Topicort,90550040003705-60-Generic,406.0,60,60g,confirmed,desoximetasone-0_25-tube-of-cream-15-topicort,False,False
Desoximetasone,0.05%,Tube of Ointment,60.0,,,,,13.62,Topicort,90550040004203-60-Generic,348.0,60,60g,confirmed,desoximetasone-0_25-tube-of-cream-15-topicort,False,False
Desoximetasone,0.25%,Cream,60.0,,,,,15.92,Topicort,90550040003710-60-Generic,159.71,60,60gm,confirmed,desoximetasone-0_25-tube-of-cream-15-topicort,False,False
Desvenlafaxine Succinate Extended Release (ER),100mg,Extended Release Tablet,30.0,,,,,11.11,Pristiq,58180020207540-Generic,10.65,30,,confirmed,desvenlafaxinesuccinateextendedreleaseer-100mg-tablet,False,False
Desvenlafaxine Succinate Extended Release (ER),25mg,Extended Release Tablet,30.0,,,,,16.66,Pristiq,58180020207510-Generic,9.65,30,,confirmed,desvenlafaxinesuccinateextendedreleaseer-100mg-tablet,False,False
Desvenlafaxine Succinate Extended Release (ER),50mg,Extended Release Tablet,30.0,,,,,13.21,Pristiq,58180020207520-Generic,9.79,30,,confirmed,desvenlafaxinesuccinateextendedreleaseer-100mg-tablet,False,False
Dexamethasone,1.5mg,10-Day Dose Pack,35.0,,,,,237.97,DexPak,2210002000B725-35-Generic,297.0,35,35 Tablets,confirmed,dexamethasone-1_5mg-10-day-dose-pack-35-dexpak,False,False
Dexamethasone,1.5mg,6-Day Dose Pack,21.0,,,,,144.76,DexPak,2210002000B720-21-Generic,187.0,21,21 Tablets,confirmed,dexamethasone-1_5mg-10-day-dose-pack-35-dexpak,False,False
Dexamethasone,1.5mg,13-Day Dose Pack,51.0,,,,,339.2,DexPak,2210002000B730-51-Generic,425.0,51,51 Tablets,confirmed,dexamethasone-1_5mg-10-day-dose-pack-35-dexpak,False,False
Dexamethasone,4mg,Tablet,100.0,,,,,6.52,Decadron,22100020000340-Generic,1.34,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,0.5mg,Tablet,100.0,,,,,5.97,Decadron,22100020000315-Generic,0.47,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,0.75mg,Tablet,100.0,,,,,6.28,Decadron,22100020000320-Generic,0.57,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,1.5mg,Tablet,100.0,,,,,13.56,Decadron,22100020000330-Generic,0.9,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,1mg,Tablet,100.0,,,,,12.35,Decadron,22100020000325-Generic,0.67,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,2mg,Tablet,100.0,,,,,6.41,Decadron,22100020000335-Generic,0.93,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,6mg,Tablet,100.0,,,,,8.21,Decadron,22100020000345-Generic,1.93,100,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,0.5mg/5mL,Bottle of Elixir,237.0,,,,,39.72,Decadron,22100020001005-237-Generic,79.0,237,237mL,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,0.10%,Solution Dropper,5.0,,,,,39.5,Decadron,86300010102005-5-Generic,65.0,5,5mL,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone,0.5mg/5ml,mL,500.0,,,,,5.93,Decadron,22100020002005-Generic,0.25,500,,confirmed,dexamethasone-4mg-tablet,False,False
Dexamethasone Intensol (Dexamethasone),1mg/mL,Solution Dropper,30.0,,,,,35.96,,22100020001320-30-Dexamethasone_Intensol,38.0,30,30mL,confirmed,dexamethasone-intensol-1mg-ml-solution-dropper-30-dexamethasone-intensol,False,False
Dexlansoprazole,30mg,Capsule Delayed Release,30.0,,,,,125.47,Dexilant,49270020006520-Generic,9.1,30,,confirmed,dexlansoprazole-30mg-capsule-delayed-release-dexilant,False,False
Dexlansoprazole,60mg,Capsule Delayed Release,30.0,,,,,80.9,Dexilant,49270020006530-Generic,9.1,30,,confirmed,dexlansoprazole-30mg-capsule-delayed-release-dexilant,False,False
Diazoxide,50mg/mL,Bottle of Suspension,30.0,,,,,183.25,Proglycem,27300020001810-30-Generic,349.0,30,30mL,confirmed,diazoxide-50mg-ml-bottle-of-suspension-30-proglycem,False,False
Diclofenac-Misoprostol,50-0.2mg,Tablet Delayed Release,60.0,,,,,16.83,Arthrotec,66109902200620-Generic,0.87,60,,confirmed,diclofenac-misoprostol-50-0_2mg-tablet-delayed-release-arthrotec,False,False
Diclofenac-Misoprostol,75-0.2mg,Tablet Delayed Release,60.0,,,,,20.77,Arthrotec,66109902200630-Generic,3.47,60,,confirmed,diclofenac-misoprostol-50-0_2mg-tablet-delayed-release-arthrotec,False,False
Diclofenac Potassium,25mg,Capsule,120.0,,,,,70.69,Zipsor,66100007100120-Generic,18.67,120,,confirmed,diclofenac-potassium-25mg-capsule-zipsor,False,False
Diclofenac Potassium,25mg,Tablet,30.0,,,,,359.97,Lofena,66100007100320-Generic,37.9,30,,confirmed,diclofenac-potassium-25mg-tablet-lofena,False,False
Diclofenac Potassium,50mg,Tablet,100.0,,,,,7.14,Cataflam,66100007100330-Generic,1.78,100,,confirmed,diclofenacpotassium-50mg-tablet,False,False
Diclofenac Potassium(Migraine),50mg,Carton of Packets,9.0,,,,,102.75,Cambia,67600040103020-9-Generic,896.0,9,9 Packets,confirmed,diclofenac-potassiummigraine-50mg-carton-of-packets-9-cambia,False,False
Diclofenac Sodium,1.50%,Bottle of Solution,150.0,,,,,15.6,Klofensaid II,90210030302025-150-Generic,281.0,150,150mL,confirmed,diclofenac-sodium-1_50-bottle-of-solution-150-klofensaid-ii,False,False
Diclofenac Sodium,2%,Bottle of Solution,112.0,,,,,37.4,Pennsaid,90210030302030-112-Generic,2578.0,112,112mL,confirmed,diclofenac-sodium-2-bottle-of-solution-112-pennsaid,False,False
Diclofenac Sodium,0.10%,Solution Dropper,5.0,,,,,9.02,Voltaren,86805010102010-5-Generic,75.0,5,5mL,confirmed,diclofenac-sodium-0_10-solution-dropper-5-voltaren,False,False
Diclofenac Sodium,3%,Gel,100.0,,,,,21.89,Voltaren,90374035304020-100-Generic,853.2,100,100g,confirmed,diclofenac-sodium-0_10-solution-dropper-5-voltaren,False,False
Diclofenac Sodium,25mg,Tablet Delayed Release,100.0,,,,,29.74,Voltaren,66100007200610-Generic,1.67,100,,confirmed,diclofenac-sodium-0_10-solution-dropper-5-voltaren,False,False
Diclofenac Sodium,1%,Gel,100.0,,,,,11.39,Voltaren,90210030304020-100-Generic,52.5,100,100g,confirmed,diclofenac-sodium-0_10-solution-dropper-5-voltaren,False,False
Diclofenac Sodium ER,100mg,Extended Release Tablet,100.0,,,,,20.25,Voltaren-XR,66100007207530-Generic,2.26,100,,confirmed,diclofenacsodiumer-100mg-tablet,False,False
Diclofenac Sodium ER,50mg,Extended Release Tablet,1000.0,,,,,6.62,Voltaren-XR,66100007200620-Generic,0.75,1000,,confirmed,diclofenacsodiumer-100mg-tablet,False,False
Diclofenac Sodium ER,75mg,Extended Release Tablet,1000.0,,,,,6.86,Voltaren-XR,66100007200630-Generic,0.62,1000,,confirmed,diclofenacsodiumer-100mg-tablet,False,False
Dicloxacillin Sodium,250mg,Capsule,100.0,,,,,20.8,Dycill,01300020100110-Generic,0.93,100,,confirmed,dicloxacillin-sodium-250mg-capsule-dycill,False,False
Dicloxacillin Sodium,500mg,Capsule,100.0,,,,,30.53,Dycill,01300020100115-Generic,1.87,100,,confirmed,dicloxacillin-sodium-250mg-capsule-dycill,False,False
Dicyclomine HCl,20mg,Tablet,1000.0,,,,,6.21,Bentyl,49103010100305-Generic,0.6,1000,,confirmed,dicyclomine-20mg-tablet,False,False
Dicyclomine HCl,10mg,Capsule,100.0,,,,,6.28,Bentyl,49103010100105-Generic,0.42,100,,confirmed,dicyclomine-20mg-tablet,False,False
Dicyclomine HCl,10mg/5ml,mL,473.0,,,,,8.17,Bentyl,49103010102050-Generic,0.29,473,,confirmed,dicyclomine-20mg-tablet,False,False
Diflorasone Diacetate,0.05%,Tube of Cream,30.0,,,,,120.0,Psorcon,90550050103705-30-Generic,365.0,30,30g,confirmed,diflorasone-diacetate-0_05-tube-of-cream-30-psorcon,False,False
Diflorasone Diacetate,0.05%,Tube of Ointment,60.0,,,,,79.29,Florone,90550050104205-60-Generic,798.0,60,60g,confirmed,diflorasone-diacetate-0_05-tube-of-ointment-60-florone,False,False
Diflunisal,500mg,Tablet,100.0,,,,,27.94,Dolobid,64100050000310-Generic,1.77,100,,confirmed,diflunisal-500mg-tablet-dolobid,False,False
Difluprednate,0.05%,Emulsion Dropper,5.0,,,,,29.77,Durezol,86300012001620-5-Generic,204.0,5,5mL,confirmed,difluprednate-0_05-emulsion-dropper-5-durezol,False,False
Digoxin,125mcg,Tablet,100.0,,,,,6.21,Lanoxin,31200010000305-Generic,0.93,100,,confirmed,digoxin-125mcg-tablet,False,False
Digoxin,250mcg,Tablet,100.0,,,,,6.41,Lanoxin,31200010000310-Generic,1.01,100,,confirmed,digoxin-125mcg-tablet,False,False
Digoxin,62.5mcg,Tablet,100.0,,,,,160.25,Lanoxin,31200010000303-Generic,15.83,100,,confirmed,digoxin-125mcg-tablet,False,False
Digoxin,0.05mg/mL,Bottle of Solution,60.0,,,,,29.31,Lanoxin,31200010002040-60-Generic,166.0,60,60mL,confirmed,digoxin-125mcg-tablet,False,False
Dihydroergotamine Mesylate,4mg/mL,Nasal Spray,8.0,,,,,292.21,Migranal,67000030102060-8-Generic,3835.0,8,Pack of 8 Vials,confirmed,dihydroergotamine-mesylate-4mg-ml-nasal-spray-1-migranal,False,False
Diltiazem HCl,120mg,Tablet,100.0,,,,,8.8,Cardizem,34000010100320-Generic,2.27,100,,confirmed,diltiazem-hcl-120mg-tablet-cardizem,False,False
Diltiazem HCl,30mg,Tablet,500.0,,,,,6.45,Cardizem,34000010100305-Generic,0.7,500,,confirmed,diltiazem-hcl-120mg-tablet-cardizem,False,False
Diltiazem HCl,60mg,Tablet,100.0,,,,,7.93,Cardizem,34000010100310-Generic,1.13,100,,confirmed,diltiazem-hcl-120mg-tablet-cardizem,False,False
Diltiazem HCl,90mg,Tablet,100.0,,,,,7.76,Cardizem,34000010100315-Generic,1.4,100,,confirmed,diltiazem-hcl-120mg-tablet-cardizem,False,False
Diltiazem HCl ER,120mg,Capsule Extended Release,100.0,,,,,12.69,Diltia XT,34000010107020-Generic,0.98,100,,confirmed,diltiazem-hcl-er-120mg-capsule-extended-release-diltia-xt,False,False
Diltiazem HCl ER,180mg,Capsule Extended Release,100.0,,,,,16.04,Diltia XT,34000010107030-Generic,1.33,100,,confirmed,diltiazem-hcl-er-120mg-capsule-extended-release-diltia-xt,False,False
Diltiazem HCl ER,240mg,Capsule Extended Release,100.0,,,,,14.18,Diltia XT,34000010107040-Generic,1.36,100,,confirmed,diltiazem-hcl-er-120mg-capsule-extended-release-diltia-xt,False,False
Diltiazem HCl ER,120mg,Capsule Extended Release,100.0,,,,,36.02,Cardizem SR,34000010106920-Generic,4.47,100,,confirmed,diltiazem-hcl-er-120mg-capsule-extended-release-cardizem-sr,False,False
Diltiazem HCl ER,60mg,Capsule Extended Release,100.0,,,,,32.88,Cardizem SR,34000010106910-Generic,3.17,100,,confirmed,diltiazem-hcl-er-120mg-capsule-extended-release-cardizem-sr,False,False
Diltiazem HCl ER,90mg,Capsule Extended Release,100.0,,,,,39.22,Cardizem SR,34000010106915-Generic,3.57,100,,confirmed,diltiazem-hcl-er-120mg-capsule-extended-release-cardizem-sr,False,False
Diltiazem HCl ER Coated Beads,300mg,Capsule Extended Release,90.0,,,,,12.73,Cartia XT,34000010127050-Generic,2.43,90,,confirmed,diltiazem-hcl-er-coated-beads-300mg-capsule-extended-release-cartia-xt,False,False
Diltiazem HCl ER Coated Beads,360mg,Extended Release Capsule,90.0,,,,,15.66,Cardizem CD,34000010127060-Generic,8.93,90,,confirmed,diltiazem-hcl-er-coated-beads-360mg-capsule-extended-release-cardizem-cd,False,False
Diltiazem HCl ER Coated Beads,120mg,Extended Release Capsule,90.0,,,,,8.17,Cardizem CD,34000010127020-Generic,0.94,90,,confirmed,diltiazem-hcl-er-coated-beads-360mg-capsule-extended-release-cardizem-cd,False,False
Diltiazem HCl ER Coated Beads,180mg,Extended Release Capsule,90.0,,,,,10.93,Cardizem CD,34000010127030-Generic,1.32,90,,confirmed,diltiazem-hcl-er-coated-beads-360mg-capsule-extended-release-cardizem-cd,False,False
Diltiazem HCl ER Coated Beads,240mg,Extended Release Capsule,90.0,,,,,11.62,Cardizem CD,34000010127040-Generic,1.7,90,,confirmed,diltiazem-hcl-er-coated-beads-360mg-capsule-extended-release-cardizem-cd,False,False
Diltiazem HCl Extended Release,120mg,Capsule Extended Release,90.0,,,,,8.24,Taztia XT,34000010117020-Generic,0.99,90,,confirmed,diltiazem-hcl-extended-release-120mg-capsule-extended-release-taztia-xt,False,False
Diltiazem HCl Extended Release,180mg,Capsule Extended Release,90.0,,,,,11.69,Taztia XT,34000010117030-Generic,1.13,90,,confirmed,diltiazem-hcl-extended-release-120mg-capsule-extended-release-taztia-xt,False,False
Diltiazem HCl Extended Release,240mg,Capsule Extended Release,90.0,,,,,10.31,Taztia XT,34000010117040-Generic,1.0,90,,confirmed,diltiazem-hcl-extended-release-120mg-capsule-extended-release-taztia-xt,False,False
Diltiazem HCl Extended Release,300mg,Capsule Extended Release 24 Hour,90.0,,,,,15.11,Taztia XT,34000010117050-Generic,1.73,90,,confirmed,diltiazem-hcl-extended-release-120mg-capsule-extended-release-taztia-xt,False,False
