drug_name,metric_type,value,unit,source_name,source_year,source_page,source_quote,class_level
Temozolomide (Temodar) Pill,markup_pct,295,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Temozolomide (Temodar) Pill,markup_pct,185,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Teriparatide (Forteo) Injectable,markup_pct,-8,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Teriparatide (Forteo) Injectable,markup_pct,0,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Cyclosporine (Gengraf) Oral Liquid,markup_pct,4,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Cyclosporine (Gengraf) Pill,markup_pct,13,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Cyclosporine (Gengraf) Pill,markup_pct,27,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Mycophenolate Mofetil (Cellcept) Oral Liquid,markup_pct,-5,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Mycophenolate Mofetil (Cellcept) Oral Liquid,markup_pct,6,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Mycophenolate Mofetil (Cellcept) Pill,markup_pct,295,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Mycophenolate Mofetil (Cellcept) Pill,markup_pct,122,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Mycophenolic Acid (Myfortic) Pill,markup_pct,106,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Mycophenolic Acid (Myfortic) Pill,markup_pct,122,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Sirolimus (Rapamune) Oral Liquid,markup_pct,40,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Sirolimus (Rapamune) Oral Liquid,markup_pct,38,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Sirolimus (Rapamune) Pill,markup_pct,26,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Sirolimus (Rapamune) Pill,markup_pct,33,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Tacrolimus (Prograf) Pill,markup_pct,249,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Tacrolimus (Prograf) Pill,markup_pct,210,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Tadalafil (Adcirca) Pill,acquisition_cost,27,usd_per_30day_supply,FTC Second Interim Staff Report (Jan 2025),2025,17,pharmacies purchased the drug at an average of $27 in 2022,False
Tadalafil (Adcirca) Pill,reimbursement_amount,2106,usd_per_30day_supply,FTC Second Interim Staff Report (Jan 2025),2025,17,"Big 3 PBMs paid their affiliated pharmacies $2,106, on average",False
Tadalafil (Adcirca) Pill,markup_pct,7700,percent,FTC Second Interim Staff Report (Jan 2025),2025,17,"an average markup of over 7,700 percent",False
Dimethyl Fumarate (Tecfidera) Pill,acquisition_cost,177,usd_per_30day_supply,FTC Second Interim Staff Report (Jan 2025),2025,17,average acquisition cost of the drug was $177,False
Dimethyl Fumarate (Tecfidera) Pill,reimbursement_amount,3930,usd_per_30day_supply,FTC Second Interim Staff Report (Jan 2025),2025,17,"paid their affiliated pharmacies $3,930 for a 30-day supply",False
Dimethyl Fumarate (Tecfidera) Pill,markup_pct,2100,percent,FTC Second Interim Staff Report (Jan 2025),2025,17,"average markup was more than 2,100 percent on commercial claims",False
Abiraterone Acetate (Zytiga),reimbursement_amount,5800,usd_per_month_commercial_2022,FTC First Interim Staff Report (Jul 2024),2024,43,"reimbursed affiliated pharmacies for abiraterone acetate more than $5,800 per month",False
Abiraterone Acetate (Zytiga),acquisition_cost,229,usd_per_month_NADAC_2022,FTC First Interim Staff Report (Jul 2024),2024,43,approximately 25-times the $229 acquisition cost,False
Abiraterone Acetate (Zytiga),markup_pct,2400,"percent (25x NADAC, commercial, 2022)",FTC First Interim Staff Report (Jul 2024),2024,43,approximately 25-times the $229 acquisition cost reflected by NADAC,False
Abiraterone Acetate (Zytiga),markup_pct,2200,"percent (23x NADAC, Part D, 2022)",FTC First Interim Staff Report (Jul 2024),2024,44,Part D plan reimbursements to affiliated pharmacies averaged 23-times NADAC,False
Imatinib Mesylate (Gleevec),reimbursement_amount,2700,usd_per_month_commercial_2022,FTC First Interim Staff Report (Jul 2024),2024,44,"commercial health plan reimbursements to affiliated pharmacies averaged roughly $2,700 per month",False
Imatinib Mesylate (Gleevec),acquisition_cost,66,usd_per_month_NADAC_2022,FTC First Interim Staff Report (Jul 2024),2024,44,more than 40-times higher than the NADAC acquisition cost of $66,False
Imatinib Mesylate (Gleevec),markup_pct,4000,"percent (40x NADAC, commercial, 2022)",FTC First Interim Staff Report (Jul 2024),2024,44,more than 40-times higher than the NADAC acquisition cost of $66,False
Imatinib Mesylate (Gleevec),markup_pct,3600,"percent (36x NADAC, Part D, 2022)",FTC First Interim Staff Report (Jul 2024),2024,44,Part D plans similarly reimbursed affiliated pharmacies nearly 36-times NADAC,False
Imatinib Mesylate (Gleevec),markup_pct,25000,"percent (250x acquisition cost, internal PBM presentation, 2021)",FTC First Interim Staff Report (Jul 2024),2024,45,billed payers almost 250-times its acquisition cost for imatinib mesylate in 2021,False
Imatinib Mesylate (Gleevec),reimbursement_amount,97,usd_Costco_nonpreferred_pharmacy,FTC First Interim Staff Report (Jul 2024),2024,45,get the drug at a non-preferred pharmacy (Costco) for $97,False
Imatinib Mesylate (Gleevec),reimbursement_amount,9000,usd_Walgreens_preferred_pharmacy,FTC First Interim Staff Report (Jul 2024),2024,45,at Walgreens (preferred) for $9000,False
Imatinib Mesylate (Gleevec),reimbursement_amount,19200,usd_preferred_home_delivery,FTC First Interim Staff Report (Jul 2024),2024,45,"at preferred home delivery for $19,200",False
Abiraterone Acetate (Zytiga),spread_dollars,685000000,usd_total_affiliated_pharmacy_excess_over_NADAC_2020-2022,FTC First Interim Staff Report (Jul 2024),2024,44,by $685 million for abiraterone acetate (generic Zytiga),False
Imatinib Mesylate (Gleevec),spread_dollars,902100000,usd_total_affiliated_pharmacy_excess_over_NADAC_2020-2022,FTC First Interim Staff Report (Jul 2024),2024,44,by $902.1 million for imatinib mesylate (generic Gleevec),False
Ezetimibe,spread_dollars,47.56,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Ezetimibe,spread_pct,83.4,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Clobetasol propionate,spread_dollars,43.55,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Clobetasol propionate,spread_pct,69.0,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Celecoxib,spread_dollars,38.34,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Celecoxib,spread_pct,76.6,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Valacyclovir HCl,spread_dollars,32.51,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Valacyclovir HCl,spread_pct,73.5,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Pregabalin,spread_dollars,30.51,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Pregabalin,spread_pct,55.9,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Duloxetine HCl,spread_dollars,29.08,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Duloxetine HCl,spread_pct,77.2,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Baclofen,spread_dollars,25.03,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Baclofen,spread_pct,86.1,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Rosuvastatin calcium,spread_dollars,24.76,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Rosuvastatin calcium,spread_pct,79.8,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Diclofenac sodium,spread_dollars,24.73,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Diclofenac sodium,spread_pct,80.0,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Potassium chloride,spread_dollars,23.98,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Potassium chloride,spread_pct,78.6,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Doxycycline hyclate,spread_dollars,22.31,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Doxycycline hyclate,spread_pct,88.6,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Losartan and hydrochlorothiazide,spread_dollars,21.56,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Losartan and hydrochlorothiazide,spread_pct,82.1,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Bupropion HCl,spread_dollars,19.86,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Bupropion HCl,spread_pct,46.3,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Mirtazapine,spread_dollars,18.64,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Mirtazapine,spread_pct,81.4,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Oxycodone HCl and acetaminophen,spread_dollars,17.03,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Oxycodone HCl and acetaminophen,spread_pct,61.5,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Metoprolol succinate,spread_dollars,17.0,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Metoprolol succinate,spread_pct,75.8,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Finasteride,spread_dollars,15.66,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Finasteride,spread_pct,82.8,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Buspirone HCl,spread_dollars,15.0,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Buspirone HCl,spread_pct,78.9,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Quetiapine fumarate,spread_dollars,14.79,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Quetiapine fumarate,spread_pct,61.7,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Pravastatin sodium,spread_dollars,14.75,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
Pravastatin sodium,spread_pct,82.5,percent_of_Part_D_spending_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,intermediary gross profit as proportion of Part D spending,False
Pantoprazole sodium,spread_dollars,14.72,usd_intermediary_gross_profit_per_claim_2021,"JAMA Health Forum, Mattingly et al. (Oct 2023)",2023,2,"combined PBM+pharmacy+wholesaler gross profit per Part D claim, 2021",False
